trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,market,program_type,sell_value,buy_value,net_buy_value,sell_volume,buy_volume,net_buy_volume,unit_value,unit_volume,source,source_url,collected_at,raw_hash
2026-05-21,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,15:30,REGULAR,KOSPI,ARBITRAGE,274375,462319,187945,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-21,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,15:30,REGULAR,KOSPI,NON_ARBITRAGE,8203245,9129322,926078,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-21,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,15:30,REGULAR,KOSPI,TOTAL,8477619,9591642,1114022,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-02,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,880896,988926,108030,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-02,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,12858262,11751795,-1106468,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-02,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,13739158,12740720,-998438,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-19,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,848451,1086292,237840,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-19,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,14721700,9904728,-4816972,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-19,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,15570151,10991020,-4579131,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-18,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,918461,1078792,160331,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-18,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,13384594,11569790,-1814804,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-18,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,14303055,12648582,-1654473,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-15,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,655178,750773,95595,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-15,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,18308996,13842605,-4466390,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-15,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,18964174,14593379,-4370795,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-14,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,885773,1086017,200244,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-14,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,15074772,15078086,3314,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-14,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,15960545,16164103,203558,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-13,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,548547,566542,17996,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-13,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,14801503,13268795,-1532707,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-13,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,15350049,13835338,-1514712,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-12,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,999111,959659,-39452,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-12,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,20687583,17312545,-3375038,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-12,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,21686694,18272204,-3414489,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-11,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,701265,766728,65463,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-11,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,16767123,12828467,-3938656,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-11,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,17468388,13595195,-3873193,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-08,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,563022,602839,39817,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-08,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,12918714,9557448,-3361265,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-08,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,13481736,10160287,-3321448,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-07,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,786143,952028,165884,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-07,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,17673515,12782877,-4890638,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-07,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,18459659,13734905,-4724754,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-06,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,871189,313540,-557650,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-06,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,18201088,18572749,371661,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-06,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,19072277,18886289,-185988,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-04,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,312740,442759,130019,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-04,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,11037622,13537714,2500093,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-05-04,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,11350362,13980473,2630111,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-04-03,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,407702,772230,364528,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-04-03,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,11432016,9950102,-1481914,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-04-03,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,TOTAL,11839718,10722331,-1117386,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-04-29,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,ARBITRAGE,182716,148650,-34067,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
2026-04-29,1330,2026-05-21T13:51:25.947923+09:00,13:51,21,13:51,collected_at_fallback,13:51,REGULAR,KOSPI,NON_ARBITRAGE,8667215,9029693,362478,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-21T13:51:25.947923+09:00,610bb28221f62fb4fc46aa7922728660451088125cf13847b8ca2bdc6d039430
